i,j,distance_cosine,distance_euclidean
1,2,0.3049047915448879,5.373479287643829
1,3,0.3569108376185499,5.83491231394868
1,4,0.1871548154761069,4.091966018871931
1,5,0.3298750160910744,5.468261336210881
1,6,0.3243034454851127,5.496880152773586
1,7,0.16319597750933534,3.8154659517378207
1,8,0.33445095370153344,5.550551901707262
1,9,0.3907972489415209,5.989707255881962
1,10,0.37570997736574985,5.994699044321414
1,11,0.328555577271171,5.538430411738464
1,12,0.2920080587277838,5.153540176605111
1,13,0.3892576291851698,6.131616874675036
1,14,0.21358955083668218,4.592191426210073
1,15,0.3028676535789734,5.219436686618191
1,16,0.3798033135203428,5.956948079420532
1,17,0.36975374415875095,5.805599358067903
1,18,0.31769770114768436,5.4885158714437265
1,19,0.27836501807672187,5.038082361090862
1,20,0.31434495337297885,5.425273147537892
1,21,0.2733067991873578,5.065376404504456
1,22,0.21946212589295755,4.406703498271545
1,23,0.2863227181188668,5.087686994113405
1,24,0.3838589172705089,6.002187581143424
1,25,0.260556853212466,4.819052752117504
1,26,0.37389579471444034,5.873445487681619
1,27,0.37765463324092907,6.019863661457953
1,28,0.13203224676135805,3.4086392577551035
1,29,0.2892079449911611,5.205695618331715
1,30,0.2121845330383505,4.39169353845071
1,31,0.32085019716282315,5.479750319263691
1,32,0.4007336323643611,6.145123291206171
1,33,0.06665472157112406,2.4671026838308223
1,34,0.370398601818128,5.990280977192902
1,35,0.3978070147192613,6.032303729600954
1,36,0.17082199420785193,3.886628433598385
1,37,0.41124680359492216,6.36109512714738
1,38,0.08732431133137031,2.8204946067575345
1,39,0.30329646351082196,5.2541969305840315
1,40,0.35763756895104093,5.774831281337231
1,41,0.1275013409049387,3.3577528954309326
1,42,0.34349830759253774,5.685086507188759
1,43,0.11291139105566528,3.2591471179421876
1,44,0.11314009113577483,3.1719617531559954
1,45,0.09564038451247159,3.031118123704537
1,46,0.11688323746313167,3.2174814242574823
1,47,0.37762473637641325,5.820868685244569
1,48,0.2729365889982803,5.01695823496315
